2201,森永製菓,10966386,0,2,161,34,2,1
3758,アエリア,9487380,1,10,142,26,5,16
7201,日産自動車,9807950,0,0,192,6,0,2
8035,東京エレクトロン,10000000,0,1,196,3,0,0
