2016-11-01,NEUTRAL,NEUTRAL,10906992
2016-11-02,UP,DOWN,9711493
2016-11-04,NEUTRAL,DOWN,9711493
2016-11-07,NEUTRAL,NEUTRAL,9711493
2016-11-08,NEUTRAL,NEUTRAL,9711493
2016-11-09,NEUTRAL,DOWN,9711493
2016-11-10,NEUTRAL,NEUTRAL,9711493
2016-11-11,NEUTRAL,NEUTRAL,9711493
2016-11-14,UP,NEUTRAL,9686254
2016-11-15,NEUTRAL,NEUTRAL,9686254
2016-11-16,NEUTRAL,UP,9686254
2016-11-17,UP,NEUTRAL,9706107
2016-11-18,NEUTRAL,NEUTRAL,9706107
2016-11-21,NEUTRAL,NEUTRAL,9706107
2016-11-22,NEUTRAL,NEUTRAL,9706107
2016-11-24,NEUTRAL,NEUTRAL,9706107
2016-11-25,NEUTRAL,NEUTRAL,9706107
2016-11-28,UP,UP,10376268
2016-11-29,NEUTRAL,NEUTRAL,10376268
2016-11-30,NEUTRAL,NEUTRAL,10376268
2016-12-01,NEUTRAL,DOWN,10376268
2016-12-02,NEUTRAL,NEUTRAL,10376268
2016-12-05,NEUTRAL,NEUTRAL,10376268
2016-12-06,NEUTRAL,NEUTRAL,10376268
2016-12-07,NEUTRAL,NEUTRAL,10376268
2016-12-08,NEUTRAL,NEUTRAL,10376268
2016-12-09,NEUTRAL,NEUTRAL,10376268
2016-12-12,NEUTRAL,NEUTRAL,10376268
2016-12-13,NEUTRAL,NEUTRAL,10376268
2016-12-14,NEUTRAL,NEUTRAL,10376268
2016-12-15,NEUTRAL,NEUTRAL,10376268
2016-12-16,NEUTRAL,NEUTRAL,10376268
2016-12-19,NEUTRAL,NEUTRAL,10376268
2016-12-20,NEUTRAL,NEUTRAL,10376268
2016-12-21,NEUTRAL,UP,10376268
2016-12-22,NEUTRAL,NEUTRAL,10376268
2016-12-26,NEUTRAL,NEUTRAL,10376268
2016-12-27,NEUTRAL,NEUTRAL,10376268
2016-12-28,NEUTRAL,UP,10376268
2016-12-29,NEUTRAL,NEUTRAL,10376268
2016-12-30,NEUTRAL,NEUTRAL,10376268
2017-01-04,NEUTRAL,NEUTRAL,10376268
2017-01-05,NEUTRAL,NEUTRAL,10376268
2017-01-06,NEUTRAL,NEUTRAL,10376268
2017-01-10,NEUTRAL,NEUTRAL,10376268
2017-01-11,NEUTRAL,NEUTRAL,10376268
2017-01-12,NEUTRAL,NEUTRAL,10376268
2017-01-13,NEUTRAL,NEUTRAL,10376268
2017-01-16,NEUTRAL,NEUTRAL,10376268
2017-01-17,NEUTRAL,NEUTRAL,10376268
2017-01-18,NEUTRAL,NEUTRAL,10376268
2017-01-19,NEUTRAL,NEUTRAL,10376268
2017-01-20,NEUTRAL,NEUTRAL,10376268
2017-01-23,NEUTRAL,NEUTRAL,10376268
2017-01-24,NEUTRAL,NEUTRAL,10376268
2017-01-25,NEUTRAL,NEUTRAL,10376268
2017-01-26,NEUTRAL,NEUTRAL,10376268
2017-01-27,NEUTRAL,NEUTRAL,10376268
2017-01-30,NEUTRAL,UP,10376268
2017-01-31,NEUTRAL,UP,10376268
2017-02-01,UP,NEUTRAL,9809388
2017-02-02,NEUTRAL,NEUTRAL,9809388
2017-02-03,DOWN,UP,9809388
2017-02-06,UP,UP,10942350
2017-02-07,DOWN,DOWN,10942350
2017-02-08,DOWN,UP,10942350
2017-02-09,NEUTRAL,NEUTRAL,10942350
2017-02-10,NEUTRAL,UP,10942350
2017-02-13,UP,NEUTRAL,10852588
2017-02-14,NEUTRAL,NEUTRAL,10852588
2017-02-15,UP,DOWN,9820980
2017-02-16,NEUTRAL,DOWN,9820980
2017-02-17,NEUTRAL,NEUTRAL,9820980
2017-02-20,NEUTRAL,NEUTRAL,9820980
2017-02-21,NEUTRAL,UP,9820980
2017-02-22,NEUTRAL,NEUTRAL,9820980
2017-02-23,DOWN,NEUTRAL,9820980
2017-02-24,NEUTRAL,UP,9820980
2017-02-27,UP,NEUTRAL,9405503
2017-02-28,NEUTRAL,NEUTRAL,9405503
2017-03-01,UP,NEUTRAL,9635172
2017-03-02,NEUTRAL,NEUTRAL,9635172
2017-03-03,NEUTRAL,NEUTRAL,9635172
2017-03-06,NEUTRAL,NEUTRAL,9635172
2017-03-07,NEUTRAL,UP,9635172
2017-03-08,NEUTRAL,NEUTRAL,9635172
2017-03-09,NEUTRAL,NEUTRAL,9635172
2017-03-10,NEUTRAL,NEUTRAL,9635172
2017-03-13,NEUTRAL,UP,9635172
2017-03-14,NEUTRAL,NEUTRAL,9635172
2017-03-15,UP,UP,10684266
2017-03-16,UP,DOWN,9487380
